subject,solution,lick_count_mean,lick_count_total
abb01,sucrose00,1.9863636363636363,437
abb01,sucrose05,2.459090909090909,541
abb01,sucrose10,3.859090909090909,849
abb01,sucrose20,6.904545454545454,1519
abb01,sucrose30,8.827272727272728,1942
abb03,sucrose00,3.01,301
abb03,sucrose05,3.66,366
abb03,sucrose10,6.57,657
abb03,sucrose20,10.69,1069
abb03,sucrose30,10.25,1025
abb04,sucrose00,2.168181818181818,477
abb04,sucrose05,2.65,583
abb04,sucrose10,3.8363636363636364,844
abb04,sucrose20,6.55,1441
abb04,sucrose30,9.222727272727273,2029
abb05,sucrose00,2.81,281
abb05,sucrose05,3.88,388
abb05,sucrose10,7.75,775
abb05,sucrose20,12.28,1228
abb05,sucrose30,11.91,1191
abb06,sucrose00,1.8636363636363635,410
abb06,sucrose05,1.65,363
abb06,sucrose10,2.6,572
abb06,sucrose20,4.245454545454545,934
abb06,sucrose30,7.1909090909090905,1582
abb07,sucrose00,2.892857142857143,405
abb07,sucrose05,4.164285714285715,583
abb07,sucrose10,6.2214285714285715,871
abb07,sucrose20,10.735714285714286,1503
abb07,sucrose30,12.32857142857143,1726
abb08,sucrose00,2.3,276
abb08,sucrose05,4.05,486
abb08,sucrose10,6.333333333333333,760
abb08,sucrose20,10.133333333333333,1216
abb08,sucrose30,11.583333333333334,1390
abb09,sucrose00,3.8285714285714287,536
abb09,sucrose05,4.964285714285714,695
abb09,sucrose10,8.842857142857143,1238
abb09,sucrose20,12.85,1799
abb09,sucrose30,16.09285714285714,2253
abb10,sucrose00,4,480
abb10,sucrose05,5.183333333333334,622
abb10,sucrose10,7.933333333333334,952
abb10,sucrose20,13.041666666666666,1565
abb10,sucrose30,16.616666666666667,1994
abb11,sucrose00,4.35,609
abb11,sucrose05,5.5,770
abb11,sucrose10,8.985714285714286,1258
abb11,sucrose20,15.292857142857143,2141
abb11,sucrose30,16.385714285714286,2294
abb12,sucrose00,4.008333333333334,481
abb12,sucrose05,5.275,633
abb12,sucrose10,8.691666666666666,1043
abb12,sucrose20,15.325,1839
abb12,sucrose30,18.375,2205
