blockname,date,event_key,id_type,access_time,inter_sol_time,num_sol,session_retract,subject,procedure,day
2022_04_14_abb03,2022_04_14,1,param,3000,180,5,1,abb03,multi_s,3
2022_04_14_abb05,2022_04_14,1,param,3000,180,5,1,abb05,multi_s,3
2022_04_15_abb03,2022_04_15,1,param,3000,180,5,1,abb03,multi_s,4
2022_04_15_abb05,2022_04_15,1,param,3000,180,5,1,abb05,multi_s,4
2022_04_18_abb03,2022_04_18,1,param,3000,180,5,1,abb03,multi_s,5
2022_04_18_abb05,2022_04_18,1,param,3000,180,5,1,abb05,multi_s,5
2022_04_19_abb03,2022_04_19,1,param,3000,180,5,1,abb03,multi_s,6
2022_04_19_abb05,2022_04_19,1,param,3000,180,5,1,abb05,multi_s,6
2022_04_20_abb03,2022_04_20,1,param,3000,180,5,1,abb03,multi_s,7
2022_04_20_abb05,2022_04_20,1,param,3000,180,5,1,abb05,multi_s,7
2022_04_21_abb03,2022_04_21,1,param,3000,180,5,1,abb03,multi_s,8
2022_04_21_abb05,2022_04_21,1,param,3000,180,5,1,abb05,multi_s,8
2022_04_22_abb03,2022_04_22,1,param,3000,180,5,1,abb03,multi_s,9
2022_04_22_abb05,2022_04_22,1,param,3000,180,5,1,abb05,multi_s,9
2022_04_25_abb03,2022_04_25,1,param,3000,180,5,1,abb03,multi_s,10
2022_04_25_abb05,2022_04_25,1,param,3000,180,5,1,abb05,multi_s,10
2022_04_26_abb03,2022_04_26,1,param,3000,180,5,1,abb03,multi_s,11
2022_04_26_abb05,2022_04_26,1,param,3000,180,5,1,abb05,multi_s,11
2022_04_27_abb03,2022_04_27,1,param,3000,180,5,1,abb03,multi_s,12
2022_04_27_abb05,2022_04_27,1,param,3000,180,5,1,abb05,multi_s,12
2022_04_28_abb03,2022_04_28,1,param,3000,180,5,1,abb03,multi_s,13
2022_04_28_abb05,2022_04_28,1,param,3000,180,5,1,abb05,multi_s,13
2022_05_02_abb01,2022_05_02,1,param,3000,180,5,1,abb01,multi_s,14
2022_05_02_abb04,2022_05_02,1,param,3000,180,5,1,abb04,multi_s,14
2022_05_02_abb06,2022_05_02,1,param,3000,180,5,1,abb06,multi_s,14
2022_05_03_abb01,2022_05_03,1,param,3000,180,5,1,abb01,multi_s,15
2022_05_03_abb04,2022_05_03,1,param,3000,180,5,1,abb04,multi_s,15
2022_05_03_abb06,2022_05_03,1,param,3000,180,5,1,abb06,multi_s,15
2022_05_04_abb01,2022_05_04,1,param,3000,180,5,1,abb01,multi_s,16
2022_05_04_abb04,2022_05_04,1,param,3000,180,5,1,abb04,multi_s,16
2022_05_04_abb06,2022_05_04,1,param,3000,180,5,1,abb06,multi_s,16
2022_05_05_abb01,2022_05_05,1,param,3000,180,5,1,abb01,multi_s,17
2022_05_05_abb04,2022_05_05,1,param,3000,180,5,1,abb04,multi_s,17
2022_05_05_abb06,2022_05_05,1,param,3000,180,5,1,abb06,multi_s,17
2022_05_06_abb01,2022_05_06,1,param,3000,180,5,1,abb01,multi_s,18
2022_05_06_abb04,2022_05_06,1,param,3000,180,5,1,abb04,multi_s,18
2022_05_06_abb06,2022_05_06,1,param,3000,180,5,1,abb06,multi_s,18
2022_05_19_abb08,2022_05_19,1,param,3000,180,5,1,abb08,multi_s,3
2022_05_19_abb10,2022_05_19,1,param,3000,180,5,1,abb10,multi_s,3
2022_05_19_abb12,2022_05_19,1,param,3000,180,5,1,abb12,multi_s,3
2022_05_20_abb08,2022_05_20,1,param,3000,180,5,1,abb08,multi_s,4
2022_05_20_abb10,2022_05_20,1,param,3000,180,5,1,abb10,multi_s,4
2022_05_20_abb12,2022_05_20,1,param,3000,180,5,1,abb12,multi_s,4
2022_05_23_abb08,2022_05_23,1,param,3000,180,5,1,abb08,multi_s,5
2022_05_23_abb10,2022_05_23,1,param,3000,180,5,1,abb10,multi_s,5
2022_05_23_abb12,2022_05_23,1,param,3000,180,5,1,abb12,multi_s,5
2022_05_24_abb08,2022_05_24,1,param,3000,180,5,1,abb08,multi_s,6
2022_05_24_abb10,2022_05_24,1,param,3000,180,5,1,abb10,multi_s,6
2022_05_24_abb12,2022_05_24,1,param,3000,180,5,1,abb12,multi_s,6
2022_05_25_abb08,2022_05_25,1,param,3000,180,5,1,abb08,multi_s,7
2022_05_25_abb10,2022_05_25,1,param,3000,180,5,1,abb10,multi_s,7
2022_05_25_abb12,2022_05_25,1,param,3000,180,5,1,abb12,multi_s,7
2022_05_26_abb08,2022_05_26,1,param,3000,180,5,1,abb08,multi_s,8
2022_05_26_abb10,2022_05_26,1,param,3000,180,5,1,abb10,multi_s,8
2022_05_26_abb12,2022_05_26,1,param,3000,180,5,1,abb12,multi_s,8
2022_05_27_abb08,2022_05_27,1,param,3000,180,5,1,abb08,multi_s,9
2022_05_27_abb10,2022_05_27,1,param,3000,180,5,1,abb10,multi_s,9
2022_05_27_abb12,2022_05_27,1,param,3000,180,5,1,abb12,multi_s,9
2022_05_30_abb07,2022_05_30,1,param,3000,180,5,1,abb07,multi_s,10
2022_05_30_abb09,2022_05_30,1,param,3000,180,5,1,abb09,multi_s,10
2022_05_30_abb11,2022_05_30,1,param,3000,180,5,1,abb11,multi_s,10
2022_05_31_abb07,2022_05_31,1,param,3000,180,5,1,abb07,multi_s,11
2022_05_31_abb09,2022_05_31,1,param,3000,180,5,1,abb09,multi_s,11
2022_05_31_abb11,2022_05_31,1,param,3000,180,5,1,abb11,multi_s,11
2022_06_07_abb07,2022_06_07,1,param,3000,180,5,1,abb07,multi_s,12
2022_06_07_abb09,2022_06_07,1,param,3000,180,5,1,abb09,multi_s,12
2022_06_07_abb11,2022_06_07,1,param,3000,180,5,1,abb11,multi_s,12
2022_06_08_abb09,2022_06_08,1,param,3000,180,5,1,abb09,multi_s,13
2022_06_08_abb11,2022_06_08,1,param,3000,180,5,1,abb11,multi_s,13
2022_06_09_abb07,2022_06_09,1,param,3000,180,5,1,abb07,multi_s,14
2022_06_09_abb09,2022_06_09,1,param,3000,180,5,1,abb09,multi_s,14
2022_06_09_abb11,2022_06_09,1,param,3000,180,5,1,abb11,multi_s,14
2022_06_10_abb07,2022_06_10,1,param,3000,180,5,1,abb07,multi_s,15
2022_06_10_abb09,2022_06_10,1,param,3000,180,5,1,abb09,multi_s,15
2022_06_10_abb11,2022_06_10,1,param,3000,180,5,1,abb11,multi_s,15
2022_06_18_abb07,2022_06_18,1,param,3000,180,5,1,abb07,multi_s,13
