solution,subject,lick_proportion
sucrose00,abb01,0.9
sucrose00,abb03,0.7590909090909091
sucrose00,abb04,0.87
sucrose00,abb05,0.9590909090909091
sucrose00,abb06,0.5
sucrose00,abb07,0.775
sucrose00,abb08,0.9428571428571428
sucrose00,abb09,0.7
sucrose00,abb10,0.9714285714285714
sucrose00,abb11,0.7666666666666667
sucrose00,abb12,0.9428571428571428
sucrose05,abb01,0.94
sucrose05,abb03,0.7909090909090909
sucrose05,abb04,0.8200000000000001
sucrose05,abb05,0.9681818181818181
sucrose05,abb06,0.56
sucrose05,abb07,0.7583333333333333
sucrose05,abb08,0.9214285714285714
sucrose05,abb09,0.8166666666666667
sucrose05,abb10,0.9785714285714285
sucrose05,abb11,0.7583333333333333
sucrose05,abb12,0.9571428571428571
sucrose10,abb01,0.89
sucrose10,abb03,0.7545454545454545
sucrose10,abb04,0.85
sucrose10,abb05,0.9363636363636364
sucrose10,abb06,0.67
sucrose10,abb07,0.7583333333333333
sucrose10,abb08,0.9571428571428572
sucrose10,abb09,0.8083333333333333
sucrose10,abb10,0.9714285714285714
sucrose10,abb11,0.8666666666666667
sucrose10,abb12,0.9714285714285714
sucrose20,abb01,0.9
sucrose20,abb03,0.75
sucrose20,abb04,0.91
sucrose20,abb05,0.9363636363636364
sucrose20,abb06,0.86
sucrose20,abb07,0.7833333333333333
sucrose20,abb08,0.9357142857142857
sucrose20,abb09,0.825
sucrose20,abb10,0.9785714285714285
sucrose20,abb11,0.9166666666666666
sucrose20,abb12,0.95
sucrose30,abb01,0.9
sucrose30,abb03,0.7954545454545454
sucrose30,abb04,0.88
sucrose30,abb05,0.9772727272727273
sucrose30,abb06,0.58
sucrose30,abb07,0.7666666666666667
sucrose30,abb08,0.9357142857142857
sucrose30,abb09,0.8166666666666667
sucrose30,abb10,0.9642857142857143
sucrose30,abb11,0.95
sucrose30,abb12,0.9928571428571429
